Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-039115,2014-08,05/04/2014 21:19,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1316,UNION BLVD,51, , ,1316,UNION,885538.3,1029718
14-020406,2014-08,05/10/2014 18:00,Y, , ,1, ,261400,4,CONSPIRACY TO COMMIT CRIME,601,CLARK AVE,35,BALLPARK VILLAGE, ,601,CLARK,908223.8,1016086
14-036700,2014-08,05/12/2014 15:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",6604,SUTHERLAND AVE,9, , ,6604,SUTHERLAND,875953.1,1004298
14-036534,2014-08,05/17/2014 21:00,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,2144,MARKET ST,36, ,@BAR- HARRYS,2144,MARKET,902415,1018162
14-039117,2014-08,05/19/2014 01:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,711,N EUCLID AVE,53, , ,711,EUCLID,888503.4,1026317
14-021729,2014-08,05/20/2014 10:49,Y, , ,1, ,115100,6,FRAUD-STEALING BY DECEIT/OVER $150,3930,N KINGSHIGHWAY BLVD,69, ,@HOTEL- CAROUSEL,3930,KINGSHIGHWAY,891566.9,1035732
14-038018,2014-08,05/21/2014 08:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3859,BINGHAM AVE,16, , ,4003,NEOSHO,891396.9,1001128
14-037114,2014-08,05/21/2014 10:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,4500,N BROADWAY,64, , ,4500,BROADWAY,905164,1033720
14-035257,2014-08,05/24/2012 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3500,PARK AVE,31, ,APT A,3500,PARK,0,0
14-030784,2014-08,05/24/2013 09:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,1500,SELLS AVE,73, , ,1500,SELLS,0,0
14-022442,2014-08,05/24/2014 02:28, , , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,6154,WASHINGTON,46, , , , ,0,0
14-022442,2014-08,05/24/2014 02:28, , , ,-1, ,266510,5,PUBLIC ORDER-TRESPASSING,6154,WASHINGTON,46, , , , ,0,0
14-035074,2014-08,05/28/2014 10:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5569,PALM ST,50, ,NUISANCE ABATEMENT PROPERTY,5569,PALM,886879.8,1037280
14-037111,2014-08,05/31/2014 10:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,4500,N BROADWAY,64, , ,4541,VARRELMANN,905164,1033720
14-023805,2014-08,05/31/2014 17:00, , , ,-1, , 72113,4,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,3700,ALDINE,59, , ,3700,ALDINE,0,0
14-037600,2014-08,06/01/2008 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,3954,SHAW AVE,27, , ,3954,SHAW,892451.4,1013068
14-037624,2014-08,06/01/2013 08:00,Y, , ,1, ,115400,2,STLG BY DECEIT/IDENTITY THEFT REPORT,6161,COLUMBIA AVE,11, , ,6161,COLUMBIA,879437.4,1012133
14-037987,2014-08,06/01/2014 12:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4627,IDAHO AVE,16, , ,4627,IDAHO,893357.4,997947.1
14-024410,2014-08,06/02/2014 12:30, , , ,-1, , 51322,4,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3917,21ST,65, , ,3917,21ST,0,0
14-024120,2014-08,06/02/2014 14:30, , , ,-1, , 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4301,GANNETT,5, , , , ,0,0
14-038722,2014-08,06/06/2014 12:46,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6336,HENNER AVE,70, ,NUISANCE ABATEMENT PROPERTY,6336,HENNER,886628.5,1043292
14-024884,2014-08,06/07/2014 00:01,Y, , ,1, , 83000,4,ARSON-KNOWINGLY BURNING/SUCCESS,700,BEAUMONT,37, , ,700,BEAUMONT,0,0
14-038127,2014-08,06/08/2014 15:00,Y, , ,1, ,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL,1641,S KINGSHIGHWAY BLVD,12,UHAUL, ,1641,KINGSHIGHWAY,886712.8,1014540
14-038719,2014-08,06/11/2014 04:50,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5230,THRUSH AVE,72, ,NUISANCE ABATEMENT PROPERTY,5230,THRUSH,891580.3,1042884
14-035246,2014-08,06/11/2014 05:00,Y, , ,1, , 64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,400,N 4TH ST,35, , ,400,4TH,909726.3,1018037
14-040009,2014-08,06/13/2014 16:40,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4140,S BROADWAY,16, ,@WALGREENS - BROADWAY AND GASCONADE,4140,BROADWAY,897819.1,1000267
14-036459,2014-08,06/14/2014 05:02,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4444,MARGARETTA AVE,69, , ,4444,MARGARETTA,895432.4,1033762
