MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-06,04/29/2010 09:50,Y, , ,1, 69602,3,"LARCENY-ALL OTHER $500 - $24,999",3669,HUMPHREY ST,15, , ,3669,HUMPHREY,892964.4,1006952
2010-06,04/29/2010 22:00,Y, , ,1,262100,7,PORNAGRAPHY-PROMOTING,1367,SEMPLE AVE,78, , ,1367,SEMPLE,884652.6,1030866
2010-06,05/01/2003 08:00,Y, , ,1,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5926,HARNEY AVE,76,N/A,N/A,3907,LEXINGTON,890980.9,1045769
2010-06,05/01/2008 19:00,Y, , ,1,172100,6,SEX OFFNS-SODOMY/FORCIBLE,5200,ROBIN AVE,72, , ,5200,ROBIN,891028.8,1043777
2010-06,05/01/2010 00:01,Y, , ,1,175500,3,SEX OFFNS-SX MISCONDUCT/FIRST,3900,JUNIATA ST,15, , ,3900,JUNIATA,891266.3,1008097
2010-06,05/01/2010 00:07,Y, , ,1,265321,8,LEAVING SCENE OF ACCIDENT,4230,W NATURAL BRIDGE AVE,56, , , , ,895974.6,1032382
2010-06,05/01/2010 02:00,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3152,OSCEOLA ST,17, ,@CRUSOE S RESTAURANT,3152,OSCEOLA,894679.3,998986.9
2010-06,05/01/2010 08:00,Y, , ,1, 67701,2,LARCENY-FROM BUILDING UNDER $500,7332,PARKVIEW DR,6, , ,7332,PARKVIEW,878777.5,995276.3
2010-06,05/01/2010 09:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5516,RIVERVIEW BLVD,72, , ,5516,RIVERVIEW,891283.5,1045561
2010-06,05/01/2010 09:00,Y, , ,1, 65701,8,LARCENY-MTR VEH PARTS UNDER $500,1325,WALTON AVE,53, , ,1325,WALTON,889723.2,1029076
2010-06,05/01/2010 11:28,Y, , ,1, 67701,3,LARCENY-FROM BUILDING UNDER $500,2316,VIRGINIA AVE,25, , ,2316,VIRGINIA,895973.6,1010528
2010-06,05/01/2010 12:00,Y, , ,1,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,915,OLIVE ST,35, , ,915,OLIVE,907586.3,1018176
2010-06,05/01/2010 12:00,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,931,WILMINGTON AVE,1, , ,931,WILMINGTON,890656.3,994564.4
2010-06,05/01/2010 13:00,Y, , ,1, 51322,8,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4533,LABADIE AVE,56, , ,4533,LABADIE,893386.4,1031860
2010-06,05/01/2010 17:00,Y, , ,1, 51322,9,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,3629,COTE BRILLIANTE AVE,59, , ,3629,COTE BRILLIANTE,898544.5,1025777
2010-06,05/01/2010 19:00,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7405,MICHIGAN AVE,2, ,NUISANCE PROPERTY,7405,MICHIGAN,889108.1,989447.9
2010-06,05/01/2010 21:39,Y, , ,1,265321,3,LEAVING SCENE OF ACCIDENT,0,MENARD ST / RUSSELL,21, , , , ,903863.3,1010118
2010-06,05/01/2010 23:00,Y, , ,1, 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1539,CASTLE LN,33,CLINTON PEABODY HOUSING COMPLEX, ,1539,CASTLE,903959.6,1014577
2010-06,05/01/2010 23:00,Y, , ,1, 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1539,CASTLE LN,33,CLINTON PEABODY HOUSING COMPLEX, ,1539,CASTLE,903959.6,1014577
2010-06,05/01/2010 23:00,Y, , ,1, 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,1539,CASTLE LN,33,CLINTON PEABODY HOUSING COMPLEX, ,1539,CASTLE,903959.6,1014577
2010-06,05/02/2010 00:01,Y, , ,1,115100,7,FRAUD-STEALING BY DECEIT/OVER $150,5621,DELMAR BLVD,48, , ,5621,DELMAR,882244.1,1027110
2010-06,05/02/2010 10:30,Y, , ,1,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1848,CASS AVE,61,O FALLON PLACE APARTMENTS, ,1848,CASS,905088.9,1022929
2010-06,05/02/2010 16:23,Y, , ,1,265321,1,LEAVING SCENE OF ACCIDENT,0,DELOR ST / VIRGINIA,16, , , , ,893328.1,996431.6
2010-06,05/03/2010 09:00,Y, , ,1,101000,9,FORGERY,0,N GRAND@DR. MARTIN L,77,NATIONS BANK, , , ,0,0
2010-06,05/03/2010 10:00,Y, , ,1, 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",1416,S 13TH ST,33, , ,1416,13TH,904545.4,1013015
2010-06,05/03/2010 10:41,Y, , ,1, 67701,4,LARCENY-FROM BUILDING UNDER $500,501,N BROADWAY,35,STIFEL NICOLAUS, ,501,BROADWAY,909060.6,1018285
2010-06,05/03/2010 12:00,Y, , ,1, 51322,8,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1406,N EUCLID AVE,53, , ,1406,EUCLID,889180,1029714
2010-06,05/03/2010 16:00,Y, , ,1, 67601,9,"LARCENY-FROM BUILDING $500 - $24,999",4416,WESTMINSTER PL,38, , ,1200,CLARK,890623.4,1024153
2010-06,05/04/2010 06:25, , ,Y,1, 65701,4,LARCENY-MTR VEH PARTS UNDER $500,1128,DILLON,33, , ,1128,DILLON,0,0
2010-06,05/04/2010 06:25, , ,Y,-1, 67701,4,LARCENY-FROM BUILDING UNDER $500,1128,DILLON,33, , ,1128,DILLON,0,0
