MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2008-09,07/07/2008 08:00,Y, , ,1,121000,3,EMBEZZLEMENT-VALUE OVER $150,3655,S GRAND BLVD,15,ACE CASH EXPRESS, ,3655,S GRAND,893231.1,1004088
2008-09,07/08/2008 11:30,Y, , ,1, 51322,9,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,4440,LINDELL BLVD,38, ,APT 901,4440,LINDELL,889978.6,1022541
2008-09,07/10/2008 15:00,Y, , ,1,264100,3,HEALTH-SANITATION VIOL,3539,UTAH ST,25, , ,3539,UTAH,893827.6,1006508
2008-09,07/10/2008 18:00,Y, , ,1, 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3322,NEBRASKA AVE,30, , ,3322,NEBRASKA,896871.9,1005630
2008-09,07/11/2008 11:30, , ,Y,1, 69702,3,LARCENY-ALL OTHER UNDER $500,3210,MAGNOLIA AVE,25, ,APT 1 E,3210,MAGNOLIA,895885.7,1009331
2008-09,07/11/2008 11:30, , ,Y,-1, 67701,3,LARCENY-FROM BUILDING UNDER $500,3210,MAGNOLIA AVE,25, ,APT 1 E,3210,MAGNOLIA,895885.7,1009331
2008-09,07/11/2008 12:30,Y, , ,1, 67601,7,"LARCENY-FROM BUILDING $500 - $24,999",5935,HORTON PL,48,MISSOURI CAREER CENTER, ,5935,HORTON PL,880314.1,1030299
2008-09,07/11/2008 15:30,Y, , ,1,111110,6,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,5037,UNION BLVD,71, , ,5037,UNION,892286.4,1040336
2008-09,07/12/2008 13:30,Y, , ,1,264100,8,HEALTH-SANITATION VIOL,2702,N EUCLID AVE,55, , ,2702,N EUCLID,890470.9,1032189
2008-09,07/14/2006 04:30, , ,Y,1, 51321,8,BURGLARY-RESDNCE/UNK TIM/UNLW EN/OCCUPIED,4647,COTTAGE AVE,56, , ,4647,COTTAGE,891867.8,1030982
2008-09,07/14/2006 04:30, , ,Y,-1, 91114,8,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4647,COTTAGE AVE,56, , ,4647,COTTAGE,891867.8,1030982
2008-09,07/15/2008 08:00,Y, , ,1, 69702,3,LARCENY-ALL OTHER UNDER $500,3423,VIRGINIA AVE,30, ,FOUR FAMILY DWELLING,3423,VIRGINIA,894953.1,1005296
2008-09,07/15/2008 09:00,Y, , ,1,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,6474,DALE AVE,43, , ,6474,DALE,878194.8,1015664
2008-09,07/15/2008 15:00,Y, , ,1,117000,9,FAILURE TO RETURN BORROWED/RENTED VEHICL,3925,LINDELL BLVD,37,ENTERPRISE RENT A CAR,PARKING LOT,3925,LINDELL,894199.2,1021580
2008-09,07/18/2008 12:00,Y, , ,1,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,6227,REBER PL,11, , ,6227,REBER PL,879211.3,1011492
2008-09,07/20/2008 08:00,Y, , ,1,264100,7,HEALTH-SANITATION VIOL,1914,UNION BLVD,52,BEAUTIFUL ZION BAPTIST CHURCH, ,1914,UNION,887201.9,1032328
2008-09,07/20/2008 08:30,Y, , ,1,264100,3,HEALTH-SANITATION VIOL,4029,GRAVOIS AVE,15,BEAVER TOOLS, ,4029,GRAVOIS,890475.4,1003956
2008-09,07/20/2008 17:00,Y, , ,1, 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4027,WINNEBAGO ST,15, , ,4027,WINNEBAGO,889988.4,1004369
2008-09,07/21/2008 09:00,Y, , ,1, 67701,8,LARCENY-FROM BUILDING UNDER $500,4548,ENRIGHT AVE,54, , ,4548,ENRIGHT,890326.5,1026181
2008-09,07/22/2008 17:22, , ,Y,1, 41023,4,AGG.ASSAULT-FIREARM/CITIZEN CHILD 3RD DEGREE,1464,COCHRAN PL,61,OFALLON PLACE APARTMENTS, ,1464,COCHRAN PL,906762.9,1022299
2008-09,07/22/2008 17:22, , ,Y,-1, 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1464,COCHRAN PL,61,OFALLON PLACE APARTMENTS, ,1464,COCHRAN PL,906762.9,1022299
2008-09,07/23/2008 16:00,Y, , ,1,264100,3,HEALTH-SANITATION VIOL,4051,RUSSELL AVE,27, , ,4051,RUSSELL,891607.3,1012737
2008-09,07/23/2008 17:00,Y, , ,1,117000,5,FAILURE TO RETURN BORROWED/RENTED VEHICL,2733,BACON ST,59, , ,2733,BACON,899764.1,1026843
2008-09,07/25/2008 14:24,Y, , ,1,103000,7,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,1315,N KINGSHIGHWAY BLVD,51,CASHLAND CHECK CASHING, ,1315,N KINGSHIGHWAY,888174.5,1029422
2008-09,07/27/2007 10:00,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5107,NORTHLAND AVE,52, , ,5107,NORTHLAND,888880.1,1032985
2008-09,07/27/2008 12:00,Y, , ,1, 69602,3,"LARCENY-ALL OTHER $500 - $24,999",4156,FLORA PL,27, , ,4156,FLORA PL,890735.2,1012207
2008-09,07/27/2008 17:00,Y, , ,1,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,N 10TH ST / I 70 EAS,63, , ,0,N 10TH,908877.8,1023423
2008-09,07/28/2008 07:00,Y, , ,1,115400,4,STLG BY DECEIT/IDENTITY THEFT REPORT,333,WASHINGTON AVE,35,TIGIN IRISH PUB, ,0,WASHINGTON,909766.3,1018424
2008-09,07/28/2008 11:00,Y, , ,1, 67701,7,LARCENY-FROM BUILDING UNDER $500,3324,CLARA AVE,50, , ,3324,CLARA,886457.3,1036636
