MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2009-04,04/23/2009 14:23,Y, , ,1,229999,2,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,5032,CHIPPEWA ST,7, , ,5032,CHIPPEWA,883713.1,1004244
2009-04,04/23/2009 14:30,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3407,DUNNICA AVE,16, , ,3407,DUNNICA,894208.8,1002769
2009-04,04/23/2009 14:30,Y, , ,1,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3407,DUNNICA AVE,16, , ,3413,DUNNICA,894208.8,1002769
2009-04,04/23/2009 14:45,Y, , ,1, 91114,7,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",5077,VERNON AVE,51, , ,5077,VERNON,887261.8,1028697
2009-04,04/23/2009 15:00,Y, , ,1, 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1531,LASALLE LN,33,CLINTON PEABODY HOUSING COMPLEX, ,1531,LASALLE,903954.2,1014266
2009-04,04/23/2009 15:30,Y, , ,1, 69602,4,"LARCENY-ALL OTHER $500 - $24,999",21,OFALLON ST,64,WILLIAM A KERR FOUNDATION, ,21,OFALLON,911012.9,1021115
2009-04,04/23/2009 15:30,Y, , ,1, 51312,8,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,2916,N WHITTIER ST,56, ,RIGHT SIDE,2916,WHITTIER,896333.9,1029751
2009-04,04/23/2009 15:40,Y, , ,1,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2419,GLASGOW AVE,59, ,CITY STREET,2419,GLASGOW,900752.4,1025588
2009-04,04/23/2009 15:58,Y, , ,1,266100,4,PUBLIC ORDER-DEMONSTRATING,300,BIDDLE ST,64, , , , ,910373.5,1020370
2009-04,04/23/2009 16:00,Y, , ,1, 69702,7,LARCENY-ALL OTHER UNDER $500,5915,MCPHERSON AVE,46, , ,5915,MCPHERSON,879387.8,1026088
