Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-050909,2015-10,6/23/2014 7:59,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
15-054567,2015-10,6/24/2015 8:15,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4960,LACLEDE AVE,38, , ,4960,LACLEDE,887579.7,1022103
15-051758,2015-10,6/27/2015 15:00,Y, , ,1, ,51312,3,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3422,MONTANA ST,16, , ,3422,MONTANA,893814.6,1001310
15-052271,2015-10,6/30/2015 0:01,Y, , ,1, ,51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,6311,SHERRY AVE,76, , ,6311,SHERRY,887975.5,1045100
15-032217,2015-10,6/30/2015 3:30, , , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,327,SARAH,38,METRO STORAGE LOT, ,327,SARAH,0,0
15-032217,2015-10,6/30/2015 3:30, , , ,-1, ,52230,5,BURGLARY-BUSINESS/NIT/ATT FORCIBLE ENTRY,327,SARAH,38,METRO STORAGE LOT, ,327,SARAH,0,0
15-032363,2015-10,6/30/2015 19:18, , , ,-1, ,265321,1,LEAVING SCENE OF ACCIDENT,4688,ALLEMANIA,4, , ,4684,ALLEMANIA,0,0
15-049972,2015-10,7/1/2015 9:00,Y, , ,1, ,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,2615,OREGON AVE,24, , ,919,JEFFERSON,897654.9,1009641
15-055380,2015-10,7/1/2015 10:00,Y, , ,1, ,242000,4,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,1319,N 7TH ST,62, , ,1319,7TH,909288.7,1021030
15-033812,2015-10,7/1/2015 10:53,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,811,SPRUCE,59, , ,811,SPRUCE,902219.9,1021227
